Fecha;Demanda (MW)
2007-01-28 01;30302.0
2007-01-28 02;28105.16
2007-01-28 03;26594.5
2007-01-28 04;25537.83
2007-01-28 05;24572.0
2007-01-28 06;24049.33
2007-01-28 07;23225.0
2007-01-28 08;23378.0
2007-01-28 09;25096.33
2007-01-28 10;28222.0
2007-01-28 11;30514.0
2007-01-28 12;31418.16
2007-01-28 13;32010.16
2007-01-28 14;32005.5
2007-01-28 15;30657.66
2007-01-28 16;30085.33
2007-01-28 17;29928.16
2007-01-28 18;32032.16
2007-01-28 19;34724.0
2007-01-28 20;35893.66
2007-01-28 21;36358.66
2007-01-28 22;34985.5
2007-01-28 23;34509.5
2007-01-29 00;31314.16
2007-01-29 01;28488.5
2007-01-29 02;26719.16
2007-01-29 03;25830.16
2007-01-29 04;25323.5
2007-01-29 05;25372.5
2007-01-29 06;27876.5
2007-01-29 07;31721.5
2007-01-29 08;36701.5
2007-01-29 09;38819.66
2007-01-29 10;40621.66
2007-01-29 11;41234.0
2007-01-29 12;41025.83
2007-01-29 13;40633.83
2007-01-29 14;38816.0
2007-01-29 15;38742.0
2007-01-29 16;38832.5
2007-01-29 17;39382.0
2007-01-29 18;41056.33
2007-01-29 19;42403.33
2007-01-29 20;41884.66
2007-01-29 21;40764.33
2007-01-29 22;38073.33
2007-01-29 23;36858.33
2007-01-30 00;33565.16
2007-01-30 01;30672.66
2007-01-30 02;29056.33
2007-01-30 03;28228.83
2007-01-30 04;27266.0
2007-01-30 05;27328.66
2007-01-30 06;29249.66
2007-01-30 07;33262.0
2007-01-30 08;37520.5
2007-01-30 09;39107.33
2007-01-30 10;40414.66
2007-01-30 11;40429.33
2007-01-30 12;40516.16
2007-01-30 13;39896.33
2007-01-30 14;37915.66
2007-01-30 15;37829.83
2007-01-30 16;37941.16
2007-01-30 17;38497.83
2007-01-30 18;40147.5
2007-01-30 19;41987.16
2007-01-30 20;41476.5
2007-01-30 21;40587.83
2007-01-30 22;37727.0
2007-01-30 23;36612.16
2007-01-31 00;33418.0
2007-01-31 01;30525.16
2007-01-31 02;28770.5
2007-01-31 03;27851.33
2007-01-31 04;27129.66
2007-01-31 05;27016.0
2007-01-31 06;28875.0
2007-01-31 07;32784.5
2007-01-31 08;37178.16
2007-01-31 09;38565.16
2007-01-31 10;39862.0
2007-01-31 11;40023.33
2007-01-31 12;39791.5
2007-01-31 13;38988.33
2007-01-31 14;37264.66
2007-01-31 15;37290.66
2007-01-31 16;37358.33
2007-01-31 17;37756.5
2007-01-31 18;39247.5
2007-01-31 19;41010.5
2007-01-31 20;40738.66
2007-01-31 21;39841.66
2007-01-31 22;37344.0
2007-01-31 23;36167.66
2007-02-01 00;33245.16
2007-02-01 01;30244.83
2007-02-01 02;28471.0
2007-02-01 03;27456.33
2007-02-01 04;26862.33
2007-02-01 05;26693.33
2007-02-01 06;28486.83
2007-02-01 07;32328.66
2007-02-01 08;36651.0
2007-02-01 09;37744.5
2007-02-01 10;39046.66
2007-02-01 11;39016.16
2007-02-01 12;38670.66
2007-02-01 13;37776.83
2007-02-01 14;35783.16
2007-02-01 15;35705.16
2007-02-01 16;35950.66
2007-02-01 17;36494.33
2007-02-01 18;38557.66
2007-02-01 19;40773.5
2007-02-01 20;40494.16
2007-02-01 21;39781.33
2007-02-01 22;37250.5
2007-02-01 23;36494.16
2007-02-02 00;33353.5
2007-02-02 01;30411.33
2007-02-02 02;28580.33
2007-02-02 03;27565.5
2007-02-02 04;27072.83
2007-02-02 05;26984.5
2007-02-02 06;28735.33
2007-02-02 07;32623.33
2007-02-02 08;36723.16
2007-02-02 09;38117.83
2007-02-02 10;39619.16
2007-02-02 11;39688.16
2007-02-02 12;39332.16
2007-02-02 13;38564.5
2007-02-02 14;36721.33
2007-02-02 15;36266.16
2007-02-02 16;36072.0
2007-02-02 17;36379.16
2007-02-02 18;37959.83
2007-02-02 19;39721.0
2007-02-02 20;39240.16
2007-02-02 21;38386.16
2007-02-02 22;36223.66
2007-02-02 23;35872.66
2007-02-03 00;33493.33
2007-02-03 01;30682.0
2007-02-03 02;28324.83
2007-02-03 03;26947.16
2007-02-03 04;25937.16
2007-02-03 05;25272.83
2007-02-03 06;25137.0
2007-02-03 07;25511.0
2007-02-03 08;26874.33
2007-02-03 09;29525.83
2007-02-03 10;32972.0
2007-02-03 11;33976.0
2007-02-03 12;33939.66
2007-02-03 13;33808.66
2007-02-03 14;32808.83
2007-02-03 15;31724.66
2007-02-03 16;30960.5
2007-02-03 17;31061.16
2007-02-03 18;32698.83
2007-02-03 19;34898.0
2007-02-03 20;35270.5
2007-02-03 21;35086.66
2007-02-03 22;33488.16
2007-02-03 23;33781.83
2007-02-04 00;31584.83
2007-02-04 01;28596.66
2007-02-04 02;26308.5
2007-02-04 03;24762.0
2007-02-04 04;23775.16
2007-02-04 05;23201.66
2007-02-04 06;22806.0
2007-02-04 07;22313.16
2007-02-04 08;22371.0
2007-02-04 09;24065.83
2007-02-04 10;26570.0
2007-02-04 11;28040.5
2007-02-04 12;28535.5
2007-02-04 13;29263.83
2007-02-04 14;29366.66
2007-02-04 15;28372.16
2007-02-04 16;27745.33
2007-02-04 17;27558.0
2007-02-04 18;29358.16
2007-02-04 19;32478.0
2007-02-04 20;33784.66
2007-02-04 21;34396.16
2007-02-04 22;33180.83
2007-02-04 23;32807.0
2007-02-05 00;29756.16
2007-02-05 01;26951.66
2007-02-05 02;25582.16
2007-02-05 03;24553.5
2007-02-05 04;23987.66
2007-02-05 05;24136.16
2007-02-05 06;26757.16
2007-02-05 07;31182.83
2007-02-05 08;35789.5
2007-02-05 09;37359.66
2007-02-05 10;38766.16
2007-02-05 11;39166.5
2007-02-05 12;38772.83
2007-02-05 13;37988.5
2007-02-05 14;35953.5
2007-02-05 15;35850.5
2007-02-05 16;35733.66
2007-02-05 17;36279.0
2007-02-05 18;37861.5
2007-02-05 19;39990.16
2007-02-05 20;39531.83
2007-02-05 21;38680.0
2007-02-05 22;36050.5
2007-02-05 23;35026.16
2007-02-05 00;29756.16
2007-02-05 01;26951.66
2007-02-05 02;25582.16
2007-02-05 03;24553.5
2007-02-05 04;23987.66
2007-02-05 05;24136.16
2007-02-05 06;26757.16
2007-02-05 07;31182.83
2007-02-05 08;35789.5
2007-02-05 09;37359.66
2007-02-05 10;38766.16
2007-02-05 11;39166.5
2007-02-05 12;38772.83
2007-02-05 13;37988.5
2007-02-05 14;35953.5
2007-02-05 15;35850.5
2007-02-05 16;35733.66
2007-02-05 17;36279.0
2007-02-05 18;37861.5
2007-02-05 19;39990.16
2007-02-05 20;39531.83
2007-02-05 21;38680.0
2007-02-05 22;36050.5
2007-02-05 23;35026.16
2007-02-07 00;32177.83
2007-02-07 01;29481.16
2007-02-07 02;27410.83
2007-02-07 03;26705.0
2007-02-07 04;25912.83
2007-02-07 05;25799.83
2007-02-07 06;27711.5
2007-02-07 07;31772.33
2007-02-07 08;35739.33
2007-02-07 09;36977.16
2007-02-07 10;38153.33
2007-02-07 11;38121.16
2007-02-07 12;37787.66
2007-02-07 13;36889.33
2007-02-07 14;34842.83
2007-02-07 15;34611.0
2007-02-07 16;34764.5
2007-02-07 17;35491.66
2007-02-07 18;37189.0
2007-02-07 19;39612.16
2007-02-07 20;39315.0
2007-02-07 21;38437.16
2007-02-07 22;35913.33
2007-02-07 23;34807.83
2007-02-08 00;31810.0
2007-02-08 01;29021.5
2007-02-08 02;27432.33
2007-02-08 03;26269.16
2007-02-08 04;25630.16
2007-02-08 05;25661.33
2007-02-08 06;27715.5
2007-02-08 07;31439.83
2007-02-08 08;35453.16
2007-02-08 09;36720.16
2007-02-08 10;38093.5
2007-02-08 11;38463.16
2007-02-08 12;38572.33
2007-02-08 13;37905.5
2007-02-08 14;35935.66
2007-02-08 15;35639.83
2007-02-08 16;35579.66
2007-02-08 17;36102.0
